ElbowFlex,ShoulderFlex1,ShoulderFlex2,ShoulderFlex3,ForearmFlex,HandFlex1,HandFlex2,P_x,P_y,P_z,O_x,O_y,O_z
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.13565991818904877,-0.22569343447685242,-0.06487715616822243,-0.42715810518832753,0.06403171737865526,-0.90190680912246
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1358034759759903,-0.21803629398345947,-0.08514327555894852,-0.42840437952264643,0.06931677289284957,-0.9009244544364069
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12973536550998688,-0.22150260210037231,-0.10121181607246399,-0.3956747374577443,0.06916612944253293,-0.9157824789084381
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12639013677835464,-0.22117504477500916,-0.11590353399515152,-0.39063083261540954,0.06574947004622458,-0.9181963623315181
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12149505317211151,-0.2256806194782257,-0.12218478322029114,-0.37919167159526607,0.0666230877792238,-0.9229165944805359
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11690285801887512,-0.2252625823020935,-0.13856695219874382,-0.37714905671967097,0.07296034346287708,-0.9232742698121946
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11220653355121613,-0.22837042808532715,-0.14239178597927094,-0.3651354344800035,0.06424514068067123,-0.9287349871658868
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11598651856184006,-0.2273542881011963,-0.08302770927548409,-0.37293285303657225,0.07241275658202437,-0.9250283670300035
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11605555564165115,-0.23202469944953918,-0.09039384871721268,-0.3682316930452619,0.08088203527763317,-0.9262092185928446
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.10751770436763763,-0.2279754877090454,-0.14726481586694717,-0.36380747492033527,0.07656404884838257,-0.9283221787806387
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.10412245243787766,-0.22730445861816406,-0.15820573270320892,-0.3639310306383106,0.07847010218997583,-0.928114566204427
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.10264460742473602,-0.2260400652885437,-0.16960478946566582,-0.35856347722743115,0.08497235852095353,-0.929629996872928
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.10137282311916351,-0.2265843152999878,-0.15627463907003403,-0.3518338025203711,0.08554436021734316,-0.9321454488646405
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.10113685578107834,-0.22647711634635925,-0.1567184366285801,-0.35390827793782625,0.08559616764798815,-0.9313550487816448
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1060224175453186,-0.2270788550376892,-0.11326434835791588,-0.3394885248119095,0.08300649960015648,-0.9369404797238524
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.10799571871757507,-0.22594699263572693,-0.11778363585472107,-0.32469787710788656,0.07893248957166135,-0.9425184086752106
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11129986494779587,-0.22586071491241455,-0.1169905997812748,-0.3292256283172857,0.07415504383148028,-0.9413349643636104
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1119982898235321,-0.2213435173034668,-0.1339421384036541,-0.3297968336381694,0.0725729648063669,-0.9412583138020356
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11698398739099503,-0.2194409966468811,-0.13343584351241589,-0.3031266002189934,0.03788705540299872,-0.9521968469137905
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11780139803886414,-0.2199113667011261,-0.13153307139873505,-0.2978860908904915,0.03980159030653493,-0.953771309205227
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12162943929433823,-0.2202570140361786,-0.13482270389795303,-0.3005204709839777,0.02918036299555255,-0.9533288797340695
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12088129669427872,-0.22107741236686707,-0.12917064875364304,-0.26022257027816376,0.054234722468790124,-0.9640242781157328
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11936509609222412,-0.2209349274635315,-0.12614650279283524,-0.23134010943894742,0.06319345657088336,-0.9708183871411787
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11876820772886276,-0.21415990591049194,-0.158114992082119,-0.20221886150280002,0.07577052143018555,-0.9764048136581002
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11803697794675827,-0.213865727186203,-0.16513723880052567,-0.18588210707406339,0.08737003960013012,-0.978679885585669
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11563235521316528,-0.21424081921577454,-0.15963923558592796,-0.18190693368571142,0.10804741082083148,-0.9773615628271742
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11417888104915619,-0.21289685368537903,-0.1629292145371437,-0.1671718779844982,0.11697836117772278,-0.9789635469348744
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11473139375448227,-0.2117183804512024,-0.158310417085886,-0.16071434657672026,0.1330710337663731,-0.977989263119369
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1154106855392456,-0.21180737018585205,-0.1561410278081894,-0.15619577100600762,0.13503982489734437,-0.9784513921557542
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12024270743131638,-0.2111530601978302,-0.14140509441494942,-0.1494002947840618,0.13386643518661215,-0.9796730727384846
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1242339015007019,-0.21152934432029724,-0.10550640150904655,-0.11415835851454532,0.1484282824628146,-0.9823120248405816
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1271875724196434,-0.2108171284198761,-0.11059842631220818,-0.009736862474038646,0.17727086186763086,-0.984113933974044
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12705260515213013,-0.20893993973731995,-0.16820505633950233,0.19542157423267031,0.18332110167137394,-0.9634333303381293
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12446784228086472,-0.2004910707473755,-0.17656165547668934,0.38312334561436334,0.18513264713331504,-0.9049543662586906
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12153453379869461,-0.19237276911735535,-0.16620036587119102,0.42278666268512066,0.21039380786933323,-0.881468027477923
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12037939578294754,-0.19358843564987183,-0.14167676120996475,0.6087143258907587,0.20085934218306473,-0.7675430894178813
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11411159485578537,-0.19822514057159424,-0.12740519642829895,0.4968873284619095,0.2123357021743043,-0.8414371826798074
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11438900977373123,-0.19784799218177795,-0.13072648365050554,0.4337124024833605,0.2120563123577993,-0.8757429259327894
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11503945291042328,-0.19688642024993896,-0.1508974051102996,0.7090774374483632,0.15688520508765563,-0.6874563405237214
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11504343897104263,-0.17786037921905518,-0.17972202133387327,0.9752976584203177,-0.1373414979314214,-0.17300806462647536
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.11631744354963303,-0.1782248318195343,-0.18513214029371738,0.690493142861797,0.0803296634524367,-0.7188646359576025
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12046659737825394,-0.18060302734375,-0.17763647437095642,0.38113826665642037,0.16731557359316587,-0.9092519565683261
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12197154760360718,-0.18204379081726074,-0.16360783763229847,-0.06254613975429912,0.13365120360774407,-0.9890527469129425
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12249097228050232,-0.1959799826145172,-0.13981729373335838,-0.0930058870136838,0.09273745566591213,-0.991337313580706
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12817473709583282,-0.19859996438026428,-0.12918436154723167,-0.14486940551468094,0.07539940551604848,-0.9865737605438578
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1281040459871292,-0.19937121868133545,-0.13350241631269455,-0.2954395931166491,0.05933989737311927,-0.9535167661865294
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1294548064470291,-0.20095211267471313,-0.1326179876923561,-0.44822616706723684,0.04878862182763087,-0.8925877959822069
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.13293103873729706,-0.210239440202713,-0.1340787559747696,-0.5700754128137121,0.004491044231226608,-0.8215800960508896
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.13647350668907166,-0.21708914637565613,-0.12863339111208916,-0.713302031432697,-0.0034620601728478423,-0.7008482190127526
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.13658128678798676,-0.22743725776672363,-0.11263026297092438,-0.8923158254433529,0.00561068258222326,-0.451376769344978
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1360173523426056,-0.22620975971221924,-0.11352599039673805,-0.8840119285811762,-0.043054012362082617,-0.4654774561090099
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.13479351997375488,-0.22232457995414734,-0.11749403551220894,-0.8693844056667566,-0.04359728958997319,-0.492209337095375
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.13398002088069916,-0.2206299602985382,-0.1208747923374176,-0.8255416471355367,-0.0560052917351788,-0.5615553366698626
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.13368061184883118,-0.21911001205444336,-0.12355806678533554,-0.8196974823200062,-0.06430120495045748,-0.5691760646058147
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1323821246623993,-0.21851730346679688,-0.11559478100389242,-0.8158832186091064,-0.07938697022003789,-0.5727410257274468
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1329992115497589,-0.21651369333267212,-0.11055944953113794,-0.8191592059208949,-0.08969823902221828,-0.5665089772204516
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.13121454417705536,-0.21652743220329285,-0.1258783247321844,-0.8316219149504129,-0.07883485743471576,-0.5497181603580659
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1306183934211731,-0.2163349688053131,-0.1298735197633505,-0.8112586147282007,-0.0785549723401194,-0.5793863791546394
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12896959483623505,-0.21534299850463867,-0.12408787943422794,-0.8093892131855515,-0.0840820401751878,-0.5812222570573602
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1287195384502411,-0.21560415625572205,-0.12486622296273708,-0.7685745004843623,-0.09317595718709183,-0.6329387633945973
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12897227704524994,-0.21594664454460144,-0.1196791511029005,-0.6775698514620233,-0.11059604304527064,-0.7270953250107309
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12842614948749542,-0.21520590782165527,-0.11316709499806166,-0.5832357063197171,-0.1579226705907959,-0.796803953922928
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12836450338363647,-0.20681411027908325,-0.11397067923098803,-0.5336992533805087,-0.16362155365200134,-0.8296945788189729
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12866679579019547,-0.20404121279716492,-0.11264740116894245,-0.4395465867851976,-0.16870225871798492,-0.8822348587246669
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1272725686430931,-0.2010881006717682,-0.11232642363756895,-0.35528001851181135,-0.1998517909479722,-0.9131458646356204
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12736372649669647,-0.1965714395046234,-0.11315411794930696,-0.31135884886334136,-0.14743905196164317,-0.9387850622965552
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.12744645774364471,-0.1988789439201355,-0.11467460915446281,-0.31177921954488724,-0.1196651349877108,-0.9425889739055694
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.13120366632938385,-0.19264516234397888,-0.14757774211466312,-0.2860854498946385,-0.13499719584206027,-0.9486468639453581
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.13359495997428894,-0.19125205278396606,-0.13357016630470753,-0.3072516536741017,-0.14513665842400303,-0.9404954926505732
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.13689285516738892,-0.19096562266349792,-0.12906270660459995,-0.30051602677044464,-0.15803834531154842,-0.9405923660466807
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.13879019021987915,-0.18541079759597778,-0.13435284793376923,-0.32139558311494665,-0.1582555150952097,-0.9336273727221976
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.13897688686847687,-0.1850341260433197,-0.1340264342725277,-0.3751997576124206,-0.15450511133416198,-0.9139766476552884
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.1398821622133255,-0.18569478392601013,-0.13354135677218437,-0.38388782155196444,-0.11699441734691081,-0.9159380147006368
0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.13931021094322205,-0.19327405095100403,-0.12391611002385616,-0.41893507487403636,-0.09692174596099912,-0.9028286538431071
