Bluetooth,P_x,P_y,P_z,O_x,O_y,O_z
b'\x00',[ 0.18295132 -0.16766933 -0.03455444 -0.93502304  0.01700279 -0.35417908]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.17642735 -0.1641939  -0.0403979  -0.94359129  0.03632116 -0.32911433]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.17551662 -0.16341388 -0.06427705 -0.96720351  0.07050497 -0.24402136]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.17565365 -0.16205302 -0.06639381 -0.95248575  0.06600979 -0.29734426]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.175363   -0.1600354  -0.09505573 -0.94317532  0.07955207 -0.32263258]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.17173116 -0.15612021 -0.12386504 -0.93604505  0.08327527 -0.34188432]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.16518848 -0.15082854 -0.15354683 -0.94458473  0.09416987 -0.31447054]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.16584854 -0.15074721 -0.14816331 -0.90820666  0.07073226 -0.41250164]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.1633334  -0.1505166  -0.12535702 -0.92244157  0.10629487 -0.3712182 ]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.16099888 -0.15012845 -0.12419483 -0.4290141   0.0296239  -0.9028119 ]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.15946662 -0.14276561 -0.15541279 -0.21429772  0.0407585  -0.97591764]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.15161943 -0.13249111 -0.18165694 -0.13106594  0.0777459  -0.98832044]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.14359595 -0.13105151 -0.18615408 -0.1853097   0.09617746 -0.97796227]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.14266312 -0.13180557 -0.1779242  -0.16295219  0.11178087 -0.9802814 ]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.14296192 -0.13304347 -0.17736176 -0.14943066  0.11711019 -0.98181245]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.14015129 -0.13391179 -0.18613542 -0.0474599   0.11972917 -0.99167156]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.14038454 -0.1343407  -0.18896747 -0.05122489  0.1521056  -0.98703591]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13963267 -0.13654298 -0.22777862 -0.06053947  0.14875253 -0.98701958]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13812739 -0.13818064 -0.21259166 -0.11525722  0.1378856  -0.98371913]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13632528 -0.13548425 -0.2086156  -0.10303505  0.07901871 -0.99153408]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13558796 -0.13451859 -0.18360418 -0.09589973  0.06635465 -0.99317687]
