Format Version,1.24,Take Name,Alextest,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-07-19 04.23.05.560 PM,Capture Start Frame,1662106,Total Frames in Take,9338,Total Exported Frames,9338,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-289.424438,364.666870,1151.378662,-118.677368,98.820206,1190.781372,-174.623276,102.645103,1227.733154,-153.933868,53.642765,1235.455200,-315.781403,632.257019,1042.373779,-138.627167,621.130737,1087.747803,-253.922287,701.392700,1073.771118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,-289.451935,364.660736,1151.385010,-118.930374,98.686531,1190.816528,-174.685699,102.638596,1227.746704,-153.982742,53.639481,1235.402344,-315.796570,632.259583,1042.399170,-138.644882,621.123596,1087.764038,-253.930176,701.390015,1073.790894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,-289.484192,364.656433,1151.396484,-118.995651,98.673416,1190.810791,-174.752350,102.626579,1227.745605,-154.064178,53.638641,1235.379272,-315.811737,632.264526,1042.422729,-138.654648,621.111877,1087.779175,-253.945175,701.386902,1073.808350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,-289.514038,364.657562,1151.405762,-119.064194,98.649818,1190.813721,-174.810226,102.615265,1227.732056,-154.125595,53.624943,1235.374268,-315.830902,632.259033,1042.437134,-138.675232,621.097351,1087.787354,-253.950836,701.378845,1073.831055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,-289.554718,364.648651,1151.412964,-119.149712,98.620262,1190.815063,-174.859604,102.599892,1227.723511,-154.157913,53.614285,1235.367920,-315.840698,632.257507,1042.456055,-138.689484,621.083740,1087.798218,-253.961121,701.380310,1073.843628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.110000,-289.597961,364.637177,1151.416504,-119.231430,98.604950,1190.811890,-174.927368,102.572517,1227.716064,-154.213470,53.590042,1235.360229,-315.859772,632.261780,1042.474976,-138.711670,621.069092,1087.807251,-253.973816,701.369751,1073.860718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.120000,-289.638611,364.631622,1151.416748,-119.299896,98.590599,1190.807983,-174.985703,102.552185,1227.704834,-154.293320,53.572472,1235.345947,-315.871094,632.256836,1042.479370,-138.725616,621.053528,1087.811646,-253.987335,701.367798,1073.870850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.130000,-289.673889,364.623444,1151.416260,-119.384636,98.545662,1190.805908,-175.040237,102.536064,1227.696655,-154.342514,53.545055,1235.338257,-315.880066,632.252380,1042.494751,-138.749176,621.036682,1087.815674,-253.996872,701.359375,1073.882690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.140000,-289.702789,364.623291,1151.409790,-119.394272,98.508766,1190.724854,-175.143875,102.461159,1227.721436,-154.411072,53.523129,1235.324951,-315.901001,632.256165,1042.490601,-138.772598,621.017273,1087.817383,-254.012192,701.354919,1073.883545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.150000,-289.735626,364.620026,1151.412964,-119.505104,98.456024,1190.721558,-175.209167,102.443535,1227.703125,-154.501755,53.516933,1235.322021,-315.919159,632.259033,1042.506348,-138.785187,621.005493,1087.824951,-254.020721,701.346924,1073.898682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
