Timestamp,ElbowFlex,ShoulderFlex1,ShoulderFlex2,ShoulderFlex3,ForearmFlex,HandFlex1,HandFlex2,P_x,P_y,P_z,O_x,O_y,O_z
1724902658.5304673,-66.14,-60.98,-143.22,-45.13,-140.71,-14.4,1.33,0.17283743619918823,0.4685687799938023,0.11053152568638325
1724902658.9631226,-68.81,-60.98,-143.11,-44.89,-139.08,-22.1,-1.43,0.10296899080276489,0.394307279959321,0.09265618398785591
1724902659.1842384,-72.63,-60.98,-143.11,-44.15,-141.07,-26.78,-8.61,0.11801084876060486,0.4078548438847065,0.09477978199720383
1724902659.365224,-72.61,-60.98,-143.11,-43.11,-141.61,-27.53,-9.82,0.12673920392990112,0.44436955638229847,0.09437467344105244
1724902659.5453866,-71.56,-60.98,-143.11,-43.11,-141.61,-25.67,-9.23,0.13299605250358582,0.4470961964689195,0.09915514290332794
1724902659.7202384,-72.22,-60.98,-143.11,-42.52,-141.61,-25.13,-9.3,0.11765553057193756,0.39754413440823555,0.1142006665468216
1724902659.8902223,-71.7,-60.98,-143.11,-43.02,-141.61,-25.37,-9.3,0.13498489558696747,0.40860057435929775,0.11619247123599052
1724902660.0521133,-71.18,-60.98,-143.11,-43.02,-141.61,-24.63,-8.74,0.1328602433204651,0.41800337191671133,0.11302966251969337
1724902660.216944,-70.63,-60.98,-143.11,-43.3,-141.1,-24.04,-7.95,0.14586897194385529,0.4304557009600103,0.11237017437815666
1724902660.3802614,-70.63,-60.98,-143.11,-43.56,-141.65,-23.44,-7.95,0.1616944521665573,0.4490547738969326,0.10512161068618298
1724902660.5421617,-70.09,-60.98,-143.11,-43.56,-141.65,-23.44,-7.95,0.18024791777133942,0.4725814191624522,0.0871485872194171
1724902660.7102067,-70.09,-60.98,-143.11,-44.23,-141.11,-23.44,-7.95,0.1868145763874054,0.4752442385070026,0.060019699623808265
1724902660.8718705,-68.92,-60.98,-143.11,-44.23,-141.78,-22.81,-7.29,0.1854725480079651,0.4738274635747075,0.07595301931723952
1724902661.0332608,-68.92,-60.98,-142.95,-44.23,-141.27,-22.81,-7.29,0.17807674407958984,0.46040830109268427,0.09370497055351734
1724902661.196133,-68.92,-60.98,-142.95,-44.85,-141.27,-22.11,-7.8,0.15659932792186737,0.44200883945450187,0.09259332437068224
1724902661.3592694,-68.25,-60.98,-142.38,-43.93,-142.56,-22.67,-10.73,0.12709274888038635,0.41484491154551506,0.09920220635831356
1724902661.5162485,-67.68,-60.39,-141.02,-42.76,-143.09,-23.21,-12.07,0.14406731724739075,0.43262438918463886,0.09848911501467228
1724902661.6770568,-67.15,-59.71,-138.88,-42.26,-143.6,-23.74,-12.07,0.16502876579761505,0.4681138265877962,0.09737842530012131
1724902661.841058,-65.06,-58.53,-138.88,-40.49,-144.22,-23.21,-12.07,0.17012299597263336,0.4713471895083785,0.09829371236264706
1724902662.0021756,-63.86,-56.87,-138.48,-40.49,-144.79,-22.65,-12.59,0.17429618537425995,0.4691963018849492,0.09249627217650414
1724902662.1665869,-63.22,-56.07,-136.43,-39.76,-145.45,-21.52,-12.59,0.1939142346382141,0.4634161237627268,0.059985154774039984
1724902662.3236756,-61.75,-54.78,-134.17,-39.97,-145.45,-21.01,-12.59,0.227549210190773,0.4553568037226796,0.03313241992145777
1724902662.482892,-61.1,-54.14,-132.66,-38.85,-144.86,-20.94,-12.77,0.24989376962184906,0.430276129511185,-0.009321287274360657
1724902662.6415687,-60.56,-52.2,-130.98,-38.31,-145.36,-20.43,-12.17,0.28391529619693756,0.40065073780715466,-0.01081758737564087
1724902662.79967,-61.82,-51.49,-127.91,-37.75,-144.76,-19.84,-11.32,0.3212982714176178,0.37293658405542374,0.0019092746078968048
1724902662.954206,-63.85,-50.0,-126.4,-36.54,-144.76,-19.29,-11.32,0.33868686854839325,0.3523036241531372,-0.004310719668865204
1724902663.1085713,-66.3,-48.58,-123.32,-35.02,-144.76,-18.12,-10.78,0.3538040965795517,0.3283332958817482,0.011607198044657707
1724902663.2645006,-68.68,-46.85,-121.25,-32.89,-143.99,-17.58,-9.65,0.3623018264770508,0.30579447001218796,0.016399145126342773
1724902663.4246356,-72.23,-46.24,-119.88,-31.18,-143.48,-16.4,-8.26,0.37139660120010376,0.2839338630437851,0.016401853412389755
1724902663.5846612,-74.84,-44.96,-118.66,-29.65,-143.48,-15.03,-8.26,0.382466122508049,0.26298096776008606,0.0016025509685277939
1724902663.7438073,-77.42,-43.79,-117.31,-27.94,-143.48,-14.52,-8.26,0.4103797674179077,0.24335725605487823,0.004284581169486046
1724902663.932246,-80.51,-41.5,-114.51,-26.07,-143.48,-13.39,-8.26,0.41524118185043335,0.21103887259960175,0.016431232914328575
1724902664.0887113,-82.94,-40.27,-113.32,-24.95,-143.48,-12.87,-7.47,0.42647700011730194,0.18823634088039398,0.0062387194484472275
1724902664.249911,-87.3,-39.74,-111.28,-22.88,-143.48,-12.33,-6.94,0.4346827119588852,0.1661360263824463,-0.00820431299507618
1724902664.410187,-92.72,-39.09,-111.28,-22.33,-142.9,-11.16,-6.94,0.4414585530757904,0.14206919074058533,-0.010074641555547714
1724902664.5721712,-99.7,-39.09,-110.73,-21.78,-142.9,-9.29,-6.94,0.4452078342437744,0.12052930891513824,-0.011938532814383507
1724902664.7409644,-106.26,-38.55,-110.73,-21.78,-142.27,-8.62,-6.94,0.44566191732883453,0.10146358609199524,-0.018229737877845764
1724902664.896749,-114.32,-38.0,-110.73,-21.21,-141.52,-7.18,-6.41,0.439865380525589,0.07131211459636688,-0.023984134197235107
